7260,-400,100 0

4840,-180,100 0

2420,40,100 0

0,280,100 4

70,280,100 0

140,280,100 0

210,280,100 0

280,280,100 0

350,280,100 3

2700,60,100 0

5050,-160,100 0

7400,-380,100 0

9750,-600,100 0

12100,-840,100 2

8620,-510,100 0

5140,-180,100 0

1660,150,100 0

-1820,480,100 0

-5300,820,100 3

-6540,1130,100 0

-7780,1440,100 0

-9020,1750,100 0

-10260,2058,100 0

-11510,2360,100 1

-7570,2280,100 0

-3630,2200,100 0

310,2120,100 0

4250,2040,100 0

8200,1970,100 3

8980,2130,100 0

9760,2290,100 0

10540,2450,100 0

11320,2610,100 0

12120,2750,100 1

8760,2630,100 0

5400,2510,100 0

2040,2390,100 0

-1320,2270,100 0

-4700,2160,100 3

-5470,2140,100 0

-6240,2120,100 0

-7010,2100,100 0

-7780,2080,100 0

-8550,2058,100 1

-6840,2030,100 0

-5130,2000,100 0

-3420,1970,100 0

-1710,1940,100 0

0,1930,100 4

-130,2010,100 0

-260,2090,100 0

-390,2170,100 0

-520,2250,100 0

-630,2340,100 3

12140,840,100 2

8370,460,100 0

4600,80,100 0

830,-300,100 0

-2940,-680,100 0

-6730,-1060,100 3

-2960,-680,100 0

810,-300,100 0

4580,80,100 0

8350,460,100 0

12140,840,100 2

8690,600,100 0

5240,360,100 0

1790,120,100 0

-1660,-120,100 0

-5110,-370,100 3

-6402,-480,100 0

-7710,-590,100 0

-9010,-700,100 0

-10310,-810,100 0

-11600,-910,100 1

-8520,-910,100 0

-5440,-910,100 0

-2360,-910,100 0

720,-910,100 0

3810,-910,100 3

4260,-910,100 0

4710,-910,100 0

5160,-910,100 0

5610,-910,100 0

6080,-910,100 1

3960,-30,100 0

1840,850,100 0

-280,1730,100 0

-2400,2610,100 0

-4520,3480,100 3

-5180,3780,100 0

-5840,4080,100 0

-6500,4380,100 0

-7160,4680,100 0

-7810,4960,100 3

12120,-630,100 2

9700,-230,100 0

7280,170,100 0

4860,570,100 0

2440,970,100 0

0,1390,100 4

130,1370,100 0

260,1350,100 0

390,1330,100 0

520,1310,100 0

630,1280,100 3

2930,900,100 0

5230,520,100 0

7530,140,100 0

9830,-240,100 0

12120,-630,100 2

8680,-100,100 0

5240,430,100 0

1800,960,100 0

-1640,1490,100 0

-5060,2040,100 3

-6380,2510,100 0

-7700,2980,100 0

-9020,3450,100 0

-10340,3920,100 0

-11640,4410,100 1

-7510,3350,100 0

-3380,2290,100 0

750,1230,100 0

4880,170,100 0

9000,-910,100 3

9860,-1060,100 0

10720,-1210,100 0

11580,-1360,100 0

12440,-1510,100 0

13310,-1640,100 1

8110,-1010,100 0

2910,-380,100 0

-2290,250,100 0

-7490,880,100 0

-12680,1510,100 3

12100,700,100 2

9680,150,100 0

7260,-400,100 0

4840,-950,100 0

2420,-1500,100 0

0,-2058,100 4

-1130,-2570,100 0

-2260,-3080,100 0

-3390,-3590,100 0

-4520,-4100,100 0

-5670,-4630,100 3

-2120,-3560,100 0

1430,-2490,100 0

4980,-1420,100 0

8530,-350,100 0

12100,700,100 2

9680,310,100 0

7260,-80,100 0

4840,-470,100 0

2420,-860,100 0

0,-1250,100 4

60,-1230,100 0

120,-1210,100 0

180,-1190,100 0

240,-1170,100 0

280,-1150,100 3

12160,-990,100 2

8470,-520,100 0

4780,-50,100 0

1090,420,100 0

-2600,890,100 0

-6280,1340,100 3

-7490,1470,100 0

-8700,1600,100 0

-9910,1730,100 0

-11120,1860,100 0

-12310,2010,100 1

-8500,1790,100 0

-4690,1570,100 0

-880,1350,100 0

2930,1130,100 0

6730,890,100 3

7640,860,100 0

8550,830,100 0

9460,800,100 0

10370,770,100 0

11260,760,100 1

7620,1120,100 0

3980,1480,100 0

340,1840,100 0

-3300,2200,100 0

-6950,2570,100 3

-8050,2950,100 0

-9144,3330,100 0

-10250,3710,100 0

-11350,4090,100 0

-12470,4480,100 1

-9710,4020,100 0

-6950,3560,100 0

-4190,3100,100 0

-1430,2640,100 0

1340,2160,100 1

120,1080,100 0

-1100,0,100 0

-2320,-1080,100 0

-3540,-2160,100 0

-4780,-3220,100 3

-5390,-3570,100 0

-6000,-3920,100 0

-6610,-4270,100 0

-7220,-4620,100 0

-7830,-4950,100 1

-5720,-3570,100 0

-3610,-2190,100 0

-1500,-810,100 0

610,570,100 0

2730,1950,100 1

1440,1230,100 0

150,510,100 0

-1140,-210,100 0

-2430,-930,100 0

-3740,-1650,100 3

-5820,-1420,100 0

-7900,-1190,100 0

-9980,-960,100 0

-12060,-730,100 0

-14160,-520,100 3

12160,670,100 2

9730,210,100 0

7300,-250,100 0

4870,-710,100 0

2440,-1170,100 0

0,-1640,100 4

70,-1690,100 0

140,-1740,100 0

210,-1790,100 0

280,-1840,100 0

350,-1900,100 3

2710,-1390,100 0

5070,-880,100 0

7430,-370,100 0

9790,140,100 0

12160,670,100 2

8740,330,100 0

5320,-10,100 0

1900,-350,100 0

-1520,-690,100 0

-4960,-1020,100 3

-6270,-1140,100 0

-7580,-1260,100 0

-8890,-1380,100 0

-10200,-1500,100 0

-11510,-1620,100 1

-7200,-970,100 0

-2890,-320,100 0

1420,330,100 0

5730,980,100 0

10060,1650,100 3

10530,1800,100 0

11000,1950,100 0

11470,2100,100 0

11940,2250,100 0

12400,2380,100 1

8580,2320,100 0

4760,2260,100 0

940,2200,100 0

-2880,2140,100 0

-6710,2100,100 3

-7880,2058,100 0

-9050,2020,100 0

-10220,1980,100 0

-11390,1940,100 0

-12570,1910,100 1

-8450,1630,100 0

-4330,1350,100 0

-210,1070,100 0

3910,790,100 0

8010,500,100 3

8970,440,100 0

9930,380,100 0

10890,320,100 0

11850,260,100 0

12790,190,100 1

9010,680,100 0

5230,1170,100 0

1450,1660,100 0

-2330,2150,100 0

-6130,2640,100 3

-7370,2770,100 0

-8610,2900,100 0

-9850,3030,100 0

-11090,3160,100 0

-12340,3270,100 1

-8430,2340,100 0

-4520,1410,100 0

-610,480,100 0

3300,-450,100 0

7230,-1380,100 3

8260,-1590,100 0

9290,-1800,100 0

10320,-2010,100 0

11350,-2220,100 0

12380,-2450,100 1

8020,-1320,100 0

3660,-190,100 0

-700,940,100 0

-5060,2070,100 0

-9420,3190,100 3

-10080,3480,100 0

-10740,3770,100 0

-11400,4060,100 0

-12060,4350,100 0

-12710,4650,100 1

-7910,4370,100 0

-3110,4090,100 0

1690,3810,100 0

6490,3530,100 0

11300,3250,100 3

11730,3300,100 0

12160,3350,100 0

12590,3400,100 0

13020,3450,100 0

13440,3480,100 1

8820,3330,100 0

4200,3180,100 0

-420,3030,100 0

-5040,2880,100 0

-9680,2710,100 3

-10050,2740,100 0

-10420,2770,100 0

-10790,2800,100 0

-11160,2830,100 0

-11540,2840,100 1

-7920,2030,100 0

-4300,1220,100 0

-680,410,100 0

2940,-400,100 0

6560,-1230,100 3

7670,-1370,100 0

8780,-1510,100 0

9890,-1650,100 0

11000,-1790,100 0

12100,-1910,100 1

8640,-1040,100 0

5180,-170,100 0

1720,700,100 0

-1740,1570,100 0

-5200,2440,100 3

-6700,2740,100 0

-8200,3040,100 0

-9700,3340,100 0

-11200,3640,100 0

-12680,3920,100 1

-8590,3590,100 0

-4500,3260,100 0

-410,2930,100 0

3680,2600,100 0

7790,2250,100 3

8710,2380,100 0

9630,2510,100 0

10550,2640,100 0

11470,2770,100 0

12380,2900,100 1

9900,2790,100 0

7420,2680,100 0

4940,2570,100 0

2460,2460,100 0

0,2340,100 4

30,2310,100 0

60,2280,100 0

90,2250,100 0

120,2220,100 0

130,2190,100 3

12060,-560,100 2

8570,300,100 0

5080,1160,100 0

1590,2020,100 0

-1900,2880,100 0

-5410,3720,100 3

-6850,4050,100 0

-8290,4380,100 0

-9730,4710,100 0

-11170,5040,100 0

-12600,5350,100 1

-8930,4480,100 0

-5260,3610,100 0

-1590,2740,100 0

2080,1870,100 0

5740,1000,100 1

3380,230,100 0

1020,-540,100 0

-1340,-1310,100 0

-3700,-2080,100 0

-6080,-2830,100 3

-7220,-3310,100 0

-8360,-3790,100 0

-9500,-4270,100 0

-10640,-4750,100 0

-11770,-5220,100 3

12060,710,100 2

9650,240,100 0

7240,-230,100 0

4830,-700,100 0

2420,-1170,100 0

0,-1650,100 4

40,-1690,100 0

80,-1730,100 0

120,-1770,100 0

160,-1810,100 0

220,-1840,100 3

2590,-1330,100 0

4960,-820,100 0

7330,-310,100 0

9700,200,100 0

12060,710,100 2

8740,360,100 0

5420,10,100 0

2100,-340,100 0

-1220,-690,100 0

-4540,-1060,100 3

-5960,-1200,100 0

-7380,-1340,100 0

-8800,-1480,100 0

-10220,-1620,100 0

-11620,-1750,100 1

-8070,-1650,100 0

-4520,-1550,100 0

-970,-1450,100 0

2580,-1350,100 0

6120,-1260,100 3

7220,-1330,100 0

8320,-1400,100 0

9420,-1470,100 0

10520,-1540,100 0

11620,-1620,100 1

7560,-1740,100 0

3500,-1860,100 0

-560,-1980,100 0

-4620,-2100,100 0

-8680,-2210,100 3

-9660,-2340,100 0

-10640,-2470,100 0

-11620,-2600,100 0

-12600,-2730,100 0

-13570,-2840,100 1

-8510,-2790,100 0

-3450,-2740,100 0

1610,-2690,100 0

6670,-2640,100 0

11730,-2570,100 3

12140,-2580,100 0

12550,-2590,100 0

12960,-2600,100 0

13370,-2610,100 0

13790,-2640,100 1

11030,-2420,100 0

8270,-2200,100 0

5510,-1980,100 0

2750,-1760,100 0

0,-1520,100 4

40,-1540,100 0

80,-1560,100 0

120,-1580,100 0

160,-1600,100 0

200,-1600,100 3

12050,-820,100 2

8600,-570,100 0

5150,-320,100 0

1700,-70,100 0

-1750,180,100 0

-5190,410,100 3

-7290,670,100 0

-9390,930,100 0

-11490,1190,100 0

-13590,1450,100 0

-15670,1710,100 3

12030,450,100 2

8680,-170,100 0

5330,-790,100 0

1980,-1410,100 0

-1370,-2030,100 0

-4740,-2640,100 3

-6140,-3040,100 0

-7540,-3440,100 0

-8940,-3840,100 0

-10340,-4240,100 0

-11730,-4650,100 1

-8280,-3260,100 0

-4830,-1870,100 0

-1380,-480,100 0

2070,910,100 0

5520,2320,100 1

3810,1610,100 0

2100,900,100 0

390,190,100 0

-1320,-520,100 0

-3010,-1210,100 3

-3550,-1390,100 0

-4090,-1570,100 0

-4630,-1750,100 0

-5170,-1930,100 0

-5730,-2100,100 1

-2500,-2460,100 0

730,-2820,100 0

3960,-3180,100 0

7190,-3540,100 0

10430,-3890,100 3

11080,-3990,100 0

11730,-4090,100 0

12380,-4190,100 0

13030,-4290,100 0

13700,-4390,100 3

12120,-500,100 2

8290,-200,100 0

4460,100,100 0

630,400,100 0

-3200,700,100 0

-7030,1000,100 3

-3200,700,100 0

630,400,100 0

4460,100,100 0

8290,-200,100 0

12120,-500,100 2

8460,60,100 0

4800,620,100 0

1140,1180,100 0

-2520,1740,100 0

-6190,2310,100 3

-7270,2430,100 0

-8350,2550,100 0

-9430,2670,100 0

-10510,2790,100 0

-11600,2920,100 1

-7310,2180,100 0

-3020,1440,100 0

1270,700,100 0

5560,-40,100 0

9870,-780,100 3

10250,-780,100 0

10630,-780,100 0

11010,-780,100 0

11390,-780,100 0

11790,-780,100 1

7270,100,100 0

2750,980,100 0

-1770,1860,100 0

-6290,2740,100 0

-10820,3610,100 3

-11540,3840,100 0

-12260,4070,100 0

-12980,4300,100 0

-13700,4530,100 0

-14440,4780,100 1

-9290,4020,100 0

-4140,3260,100 0

1010,2500,100 0

6160,1740,100 0

11300,1000,100 3

11720,1030,100 0

12140,1060,100 0

12560,1090,100 0

12980,1120,100 0

13380,1130,100 1

9100,1170,100 0

4820,1210,100 0

540,1250,100 0

-3740,1290,100 0

-8010,1340,100 3

-8710,1300,100 0

-9410,1260,100 0

-10110,1220,100 0

-10810,1180,100 0

-11490,1150,100 1

-7360,1370,100 0

-3230,1590,100 0

900,1810,100 0

5030,2030,100 0

9144,2230,100 3

10220,2430,100 0

11290,2630,100 0

12360,2830,100 0

13430,3030,100 0

14500,3230,100 1

10480,3150,100 0

6460,3070,100 0

2440,2990,100 0

-1580,2910,100 0

-5610,2810,100 1

-2620,2620,100 0

370,2430,100 0

3360,2240,100 0

6350,2057,100 0

9330,1860,100 3

10270,2110,100 0

11210,2360,100 0

12150,2610,100 0

13090,2860,100 0

14050,3100,100 1

11240,2230,100 0

8430,1360,100 0

5620,490,100 0

2810,-380,100 0

0,-1250,100 4

70,-1300,100 0

140,-1350,100 0

210,-1400,100 0

280,-1450,100 0

330,-1510,100 3

-12100,-520,100 2

-8350,-150,100 0

-4600,220,100 0

-850,590,100 0

2900,960,100 0

6650,1320,100 3

2900,950,100 0

-850,580,100 0

-4600,210,100 0

-8350,-160,100 0

-12100,-520,100 2

-8630,150,100 0

-5160,820,100 0

-1690,1490,100 0

1780,2160,100 0

5240,2840,100 3

7060,3380,100 0

8880,3920,100 0

10700,4460,100 0

12520,5000,100 0

14350,5520,100 1

11480,4940,100 0

8610,4360,100 0

5740,3780,100 0

2870,3200,100 0

0,2600,100 4

60,2560,100 0

120,2520,100 0

180,2480,100 0

240,2440,100 0

300,2380,100 3

-12050,520,100 2

-8410,-510,100 0

-4770,-1540,100 0

-1130,-2570,100 0

2510,-3600,100 0

6150,-4630,100 3

2510,-3600,100 0

-1130,-2570,100 0

-4770,-1540,100 0

-8410,-510,100 0

-12050,520,100 2

-8700,-100,100 0

-5350,-720,100 0

-2000,-1340,100 0

1350,-1960,100 0

4700,-2580,100 3

6440,-2970,100 0

8180,-3360,100 0

9920,-3750,100 0

11660,-4140,100 0

13380,-4520,100 1

9240,-3360,100 0

5100,-2200,100 0

960,-1040,100 0

-3180,120,100 0

-7310,1280,100 3

-8330,1580,100 0

-9350,1880,100 0

-10370,2180,100 0

-11390,2480,100 0

-12400,2770,100 1

-7920,1700,100 0

-3440,630,100 0

1040,-440,100 0

5520,-1510,100 0

9980,-2580,100 3

10660,-2720,100 0

11340,-2860,100 0

12020,-3000,100 0

12700,-3140,100 0

13400,-3270,100 1

9710,-2380,100 0

6020,-1490,100 0

2330,-600,100 0

-1360,290,100 0

-5070,1170,100 3

-6380,1590,100 0

-7690,2010,100 0

-9000,2430,100 0

-10310,2850,100 0

-11640,3250,100 1

-8130,2170,100 0

-4620,1090,100 0

-1110,10,100 0

2400,-1070,100 0

5890,-2140,100 3

7370,-2470,100 0

8850,-2800,100 0

10330,-3130,100 0

11810,-3460,100 0

13290,-3770,100 1

8860,-2570,100 0

4430,-1370,100 0

0,-170,100 0

-4430,1030,100 0

-8870,2210,100 3

-9580,2370,100 0

-10290,2530,100 0

-11000,2690,100 0

-11710,2850,100 0

-12440,3010,100 1

-8020,2690,100 0

-3600,2370,100 0

820,2057,100 0

5240,1730,100 0

9650,1410,100 3

10240,1340,100 0

10830,1270,100 0

11420,1200,100 0

12010,1130,100 0

12600,1060,100 1

8500,1410,100 0

4400,1760,100 0

300,2110,100 0

-3800,2460,100 0

-7900,2830,100 3

-8660,2920,100 0

-9420,3010,100 0

-10180,3100,100 0

-10940,3190,100 0

-11710,3270,100 1

-8260,2010,100 0

-4810,750,100 0

-1360,-510,100 0

2090,-1770,100 0

5560,-3030,100 3

7120,-3570,100 0

8680,-4115,100 0

10240,-4650,100 0

11800,-5190,100 0

13380,-5740,100 1

8770,-5130,100 0

4160,-4520,100 0

-450,-3910,100 0

-5060,-3300,100 0

-9670,-2700,100 3

-10470,-2650,100 0

-11270,-2600,100 0

-12070,-2550,100 0

-12870,-2500,100 0

-13660,-2450,100 1

-8550,-1310,100 0

-3440,-170,100 0

1670,970,100 0

6780,2110,100 0

11887,3230,100 3

12630,3420,100 0

13380,3610,100 0

14130,3800,100 0

14880,3990,100 0

15610,4180,100 3

-12080,-630,100 2

-8540,-80,100 0

-5000,470,100 0

-1460,1020,100 0

2080,1570,100 0

5630,2100,100 3

7160,2550,100 0

8690,3000,100 0

10220,3450,100 0

11750,3900,100 0

13270,4350,100 1

10620,3340,100 0

7970,2330,100 0

5320,1320,100 0

2670,310,100 0

0,-720,100 4

-940,-1150,100 0

-1880,-1580,100 0

-2820,-2010,100 0

-3760,-2440,100 0

-4700,-2860,100 1

-1960,-1920,100 0

780,-980,100 0

3520,-40,100 0

6260,900,100 0

9020,1840,100 3

9440,2000,100 0

9860,2160,100 0

10280,2320,100 0

10700,2480,100 0

11120,2620,100 1

8020,2660,100 0

4920,2700,100 0

1820,2740,100 0

-1280,2780,100 0

-4390,2840,100 1

-2750,1890,100 0

-1110,940,100 0

530,-10,100 0

2170,-960,100 0

3830,-1900,100 3

5550,-2600,100 0

7270,-3300,100 0

8990,-4000,100 0

10710,-4700,100 0

12440,-5410,100 1

8170,-3790,100 0

3900,-2170,100 0

-370,-550,100 0

-4640,1070,100 0

-8890,2710,100 3

-9390,2910,100 0

-9890,3110,100 0

-10390,3310,100 0

-10890,3510,100 0

-11380,3720,100 1

-6270,1660,100 0

-1160,-400,100 0

3950,-2460,100 0

9060,-4520,100 0

14150,-6600,100 3

-12050,450,100 2

-8470,-540,100 0

-4890,-1530,100 0

-1310,-2520,100 0

2270,-3510,100 0

5870,-4480,100 3

2290,-3490,100 0

-1290,-2500,100 0

-4870,-1510,100 0

-8450,-520,100 0

-12050,450,100 2

-8550,-60,100 0

-5050,-570,100 0

-1550,-1080,100 0

1950,-1590,100 0

5470,-2120,100 3

7080,-2460,100 0

8690,-2800,100 0

10300,-3140,100 0

11910,-3480,100 0

13530,-3830,100 1

9320,-2820,100 0

5110,-1810,100 0

900,-800,100 0

-3310,210,100 0

-7510,1230,100 3

-8340,1510,100 0

-9170,1790,100 0

-10000,2070,100 0

-10830,2350,100 0

-11640,2620,100 1

-7050,2660,100 0

-2460,2700,100 0

2130,2740,100 0

6720,2780,100 0

11300,2830,100 3

11730,2880,100 0

12160,2930,100 0

12590,2980,100 0

13020,3030,100 0

13440,3090,100 1

8700,2940,100 0

3960,2790,100 0

-780,2640,100 0

-5520,2490,100 0

-10260,2340,100 3

-10790,2360,100 0

-11320,2380,100 0

-11850,2400,100 0

-12380,2420,100 0

-12920,2440,100 1

-8440,2380,100 0

-3960,2320,100 0

520,2260,100 0

5000,2200,100 0

9460,2160,100 3

10150,2210,100 0

10840,2260,100 0

11530,2310,100 0

12220,2360,100 0

12900,2420,100 1

8780,2310,100 0

4660,2200,100 0

540,2090,100 0

-3580,1980,100 0

-7680,1880,100 3

-8690,1860,100 0

-9700,1840,100 0

-10710,1820,100 0

-11720,1800,100 0

-12710,1800,100 1

-8740,2010,100 0

-4770,2220,100 0

-800,2430,100 0

3170,2640,100 0

7160,2840,100 3

7820,3030,100 0

8480,3220,100 0

9143,3410,100 0

9800,3600,100 0

10470,3770,100 1

7530,3670,100 0

4590,3570,100 0

1650,3470,100 0

-1290,3370,100 0

-4240,3290,100 3

-5110,3420,100 0

-5980,3550,100 0

-6850,3680,100 0

-7720,3810,100 0

-8590,3960,100 1

-4570,3840,100 0

-550,3720,100 0

3470,3600,100 0

7490,3480,100 0

11510,3350,100 3

11940,3370,100 0

12370,3390,100 0

12800,3410,100 0

13230,3430,100 0

13660,3440,100 1

9760,3430,100 0

5860,3420,100 0

1960,3410,100 0

-1940,3400,100 0

-5820,3380,100 1

-3620,2100,100 0

-1420,820,100 0

780,-460,100 0

2980,-1740,100 0

5200,-3010,100 3

5910,-3360,100 0

6620,-3710,100 0

7330,-4060,100 0

8040,-4410,100 0

8740,-4740,100 1

6300,-3150,100 0

3860,-1560,100 0

1420,30,100 0

-1020,1620,100 0

-3440,3220,100 3

-3970,3480,100 0

-4500,3740,100 0

-5030,4000,100 0

-5560,4260,100 0

-6100,4520,100 1

-2560,4170,100 0

980,3820,100 0

4520,3470,100 0

8060,3120,100 0

11580,2750,100 3

12150,2710,100 0

12720,2670,100 0

13290,2630,100 0

13860,2590,100 0

14440,2570,100 1

9800,2640,100 0

5160,2710,100 0

520,2780,100 0

-4120,2850,100 0

-8760,2900,100 3

-9740,2960,100 0

-10720,3020,100 0

-11700,3080,100 0

-12680,3140,100 0

-13640,3200,100 3

-12060,-480,100 2

-9650,-160,100 0

-7240,160,100 0

-4830,480,100 0

-2420,800,100 0

0,1120,100 4

-70,1160,100 0

-140,1200,100 0

-210,1240,100 0

-280,1280,100 0

-350,1320,100 3

-2690,960,100 0

-5030,600,100 0

-7370,240,100 0

-9710,-120,100 0

-12060,-480,100 2

-8550,290,100 0

-5040,1060,100 0

-1530,1830,100 0

1980,2600,100 0

5480,3350,100 3

6750,3720,100 0

8020,4090,100 0

9290,4460,100 0

10560,4830,100 0

11840,5200,100 1

7390,4370,100 0

2940,3540,100 0

-1510,2710,100 0

-5960,1880,100 0

-10390,1040,100 3

-10900,910,100 0

-11410,780,100 0

-11920,650,100 0

-12430,520,100 0

-12940,390,100 1

-8420,780,100 0

-3900,1170,100 0

620,1560,100 0

5140,1950,100 0

9670,2320,100 3

10420,2480,100 0

11170,2640,100 0

11920,2800,100 0

12670,2960,100 0

13400,3120,100 1

9360,2820,100 0

5320,2520,100 0

1280,2220,100 0

-2760,1920,100 0

-6800,1620,100 3

-7730,1640,100 0

-8660,1660,100 0

-9590,1680,100 0

-10520,1700,100 0

-11430,1710,100 1

-7000,2000,100 0

-2570,2290,100 0

1860,2580,100 0

6290,2870,100 0

10710,3140,100 3

11390,3340,100 0

12070,3540,100 0

12750,3740,100 0

13430,3940,100 0

14130,4160,100 1

9590,3760,100 0

5050,3360,100 0

510,2960,100 0

-4030,2560,100 0

-8590,2160,100 3

-9390,1980,100 0

-10190,1800,100 0

-10990,1620,100 0

-11790,1440,100 0

-12600,1250,100 1

-10080,710,100 0

-7560,170,100 0

-5040,-370,100 0

-2520,-910,100 0

0,-1430,100 4

-50,-810,100 0

-100,-190,100 0

-150,430,100 0

-200,1050,100 0

-240,1690,100 3

-12030,410,100 2

-8470,-580,100 0

-4910,-1570,100 0

-1350,-2560,100 0

2210,-3550,100 0

5760,-4540,100 3

2200,-3550,100 0

-1360,-2560,100 0

-4920,-1570,100 0

-8480,-580,100 0

-12030,410,100 2

-8590,-110,100 0

-5150,-630,100 0

-1710,-1150,100 0

1730,-1670,100 0

5190,-2170,100 3

6580,-2650,100 0

7970,-3130,100 0

9360,-3610,100 0

10750,-4090,100 0

12140,-4550,100 1

7460,-3160,100 0

2780,-1770,100 0

-1900,-380,100 0

-6580,1010,100 0

-11250,2420,100 3

-11680,2590,100 0

-12110,2760,100 0

-12540,2930,100 0

-12970,3100,100 0

-13420,3270,100 1

-8730,2140,100 0

-4040,1010,100 0

650,-120,100 0

5340,-1250,100 0

10020,-2400,100 3

10720,-2660,100 0

11420,-2920,100 0

12120,-3180,100 0

12820,-3440,100 0

13500,-3700,100 1

9320,-2620,100 0

5140,-1540,100 0

960,-460,100 0

-3220,620,100 0

-7380,1690,100 3

-8140,2058,100 0

-8900,2430,100 0

